,abbreviation,season,avg_player_height,lg,team,playoffs,age,w,l,pw,pl,mov,sos,srs,o_rtg,d_rtg,n_rtg,pace,f_tr,x3p_ar,ts_percent,e_fg_percent,tov_percent,orb_percent,ft_fga,opp_e_fg_percent,opp_tov_percent,opp_drb_percent,opp_ft_fga,arena,attend,attend_g
96,DET,2021,197.612,NBA,Detroit Pistons,False,24.5,20.0,52.0,26.0,46.0,-4.47,0.09,-4.38,108.0,112.5,-4.5,97.9,0.273,0.385,0.556,0.519,13.5,21.9,0.207,0.541,12.6,76.9,0.195,Little Caesars Arena,14250.0,396.0
97,DET,2022,199.45684210526315,NBA,Detroit Pistons,False,23.6,23.0,59.0,22.0,60.0,-7.72,0.37,-7.36,106.0,113.8,-7.8,98.4,0.249,0.391,0.533,0.494,12.6,23.4,0.194,0.541,13.1,75.6,0.226,Little Caesars Arena,663556.0,16184.0
98,GSW,2012,201.02285714285716,NBA,Golden State Warriors,False,25.3,23.0,43.0,25.0,41.0,-3.41,0.62,-2.79,105.4,109.1,-3.7,92.3,0.227,0.248,0.539,0.505,13.3,22.9,0.175,0.496,13.6,69.1,0.237,Oracle Arena,622311.0,18858.0
99,GSW,2013,202.11142857142858,NBA,Golden State Warriors,True,25.3,47.0,35.0,44.0,38.0,0.89,0.42,1.32,106.4,105.5,0.9,94.5,0.255,0.239,0.545,0.506,14.0,25.4,0.201,0.486,12.4,75.5,0.211,Oracle Arena,794320.0,19374.0
100,GSW,2014,202.52266666666668,NBA,Golden State Warriors,True,26.3,51.0,31.0,54.0,28.0,4.8,0.34,5.15,107.5,102.6,4.9,96.2,0.247,0.291,0.55,0.517,13.8,25.1,0.186,0.477,13.6,76.3,0.224,Oracle Arena,803436.0,19596.0
101,GSW,2015,201.84533333333331,NBA,Golden State Warriors,True,26.6,67.0,15.0,65.0,17.0,10.1,-0.09,10.01,111.6,101.4,10.2,98.3,0.239,0.311,0.571,0.54,13.1,24.1,0.184,0.47,14.3,74.5,0.217,Oracle Arena,803436.0,19596.0
102,GSW,2016,203.35875000000001,NBA,Golden State Warriors,True,27.4,73.0,9.0,65.0,17.0,10.76,-0.38,10.38,114.5,103.8,10.7,99.3,0.25,0.362,0.593,0.563,13.5,23.5,0.191,0.479,12.6,76.0,0.208,Oracle Arena,803436.0,19596.0
103,GSW,2017,203.20000000000002,NBA,Golden State Warriors,True,28.2,67.0,15.0,67.0,15.0,11.63,-0.28,11.35,115.6,104.0,11.6,99.8,0.259,0.359,0.597,0.563,13.2,22.8,0.204,0.486,13.5,74.9,0.198,Oracle Arena,803436.0,19596.0
104,GSW,2018,202.45294117647057,NBA,Golden State Warriors,True,28.8,58.0,24.0,56.0,26.0,5.98,-0.19,5.79,113.6,107.6,6.0,99.6,0.239,0.339,0.603,0.569,14.1,21.0,0.195,0.504,12.6,76.3,0.186,Oracle Arena,803436.0,19596.0
105,GSW,2019,197.16750000000002,NBA,Golden State Warriors,True,28.4,57.0,25.0,56.0,26.0,6.46,-0.04,6.42,115.9,109.5,6.4,100.9,0.227,0.384,0.596,0.565,12.6,22.5,0.182,0.508,11.7,77.1,0.205,Oracle Arena,803436.0,19596.0
106,GSW,2020,198.41882352941175,NBA,Golden State Warriors,False,24.4,15.0,50.0,16.0,49.0,-8.71,0.59,-8.12,105.2,113.8,-8.6,100.3,0.264,0.355,0.54,0.497,13.2,21.5,0.212,0.553,13.7,76.4,0.193,Chase Center,614176.0,18064.0
107,GSW,2021,196.37375,NBA,Golden State Warriors,False,26.7,39.0,33.0,38.0,34.0,1.06,0.04,1.1,111.1,110.1,1.0,102.2,0.239,0.439,0.583,0.551,13.3,17.9,0.188,0.522,13.1,76.6,0.223,Chase Center,33457.0,929.0
108,GSW,2022,196.92470588235295,NBA,Golden State Warriors,True,27.6,53.0,29.0,55.0,27.0,5.54,-0.02,5.52,112.5,106.9,5.6,98.4,0.235,0.456,0.582,0.552,13.5,22.8,0.181,0.509,13.0,78.7,0.201,Chase Center,740624.0,18064.0
109,HOU,2012,201.20428571428573,NBA,Houston Rockets,False,26.2,34.0,32.0,34.0,32.0,0.23,0.35,0.57,105.5,105.2,0.3,91.7,0.235,0.24,0.529,0.492,13.5,27.5,0.184,0.49,13.8,73.4,0.21,Toyota Center,506994.0,15363.0
110,HOU,2013,201.45375,NBA,Houston Rockets,True,24.4,45.0,37.0,50.0,32.0,3.48,0.22,3.69,109.7,106.1,3.6,96.1,0.308,0.349,0.564,0.525,14.9,26.4,0.232,0.502,13.5,75.2,0.196,Toyota Center,683564.0,16672.0
111,HOU,2014,200.68,NBA,Houston Rockets,True,25.4,54.0,28.0,53.0,29.0,4.56,0.5,5.06,111.0,106.3,4.7,96.3,0.386,0.33,0.571,0.531,14.6,27.4,0.275,0.489,12.5,74.1,0.193,Toyota Center,743082.0,18124.0
112,HOU,2015,201.84533333333331,NBA,Houston Rockets,True,27.6,56.0,26.0,50.0,32.0,3.44,0.38,3.82,107.0,103.4,3.6,96.5,0.312,0.392,0.548,0.512,15.0,26.8,0.223,0.486,14.6,72.9,0.208,Toyota Center,747412.0,18230.0
113,HOU,2016,199.64399999999998,NBA,Houston Rockets,True,27.8,41.0,41.0,42.0,40.0,0.2,0.14,0.34,108.3,108.1,0.2,97.6,0.352,0.37,0.553,0.516,14.2,25.7,0.244,0.516,14.7,72.8,0.219,Toyota Center,737244.0,17982.0
114,HOU,2017,199.85789473684213,NBA,Houston Rockets,True,27.4,55.0,27.0,55.0,27.0,5.77,0.08,5.84,114.7,109.0,5.7,100.0,0.304,0.462,0.583,0.545,13.3,24.6,0.233,0.519,13.2,75.8,0.194,Toyota Center,695903.0,16973.0
115,HOU,2018,199.898,NBA,Houston Rockets,True,29.8,65.0,17.0,61.0,21.0,8.48,-0.27,8.21,114.7,106.1,8.6,97.6,0.298,0.502,0.59,0.551,12.7,21.3,0.233,0.521,13.4,79.9,0.171,Toyota Center,732722.0,17871.0
116,HOU,2019,197.866,NBA,Houston Rockets,True,29.2,53.0,29.0,53.0,29.0,4.77,0.19,4.96,115.5,110.7,4.8,97.9,0.279,0.519,0.581,0.542,12.0,22.8,0.221,0.525,13.4,74.4,0.21,Toyota Center,740392.0,18058.0
117,HOU,2020,197.88909090909092,NBA,Houston Rockets,True,29.2,44.0,28.0,42.0,30.0,2.96,0.17,3.13,112.9,110.1,2.8,103.7,0.288,0.501,0.578,0.537,12.6,21.0,0.228,0.529,13.7,75.6,0.197,Toyota Center,578458.0,18077.0
118,HOU,2021,196.5325,NBA,Houston Rockets,False,26.5,17.0,55.0,20.0,52.0,-7.9,0.4,-7.5,107.1,114.9,-7.8,101.4,0.252,0.459,0.553,0.521,13.0,19.8,0.187,0.555,12.9,77.1,0.201,Toyota Center,117009.0,3250.0
119,HOU,2022,200.49066666666667,NBA,Houston Rockets,False,24.1,20.0,62.0,21.0,61.0,-8.48,0.22,-8.26,108.4,116.7,-8.3,100.9,0.284,0.448,0.565,0.534,14.5,21.7,0.202,0.554,12.3,74.4,0.206,Toyota Center,638977.0,15585.0
120,IND,2012,201.45375,NBA,Indiana Pacers,True,26.3,42.0,24.0,41.0,25.0,3.3,-0.71,2.6,106.7,103.1,3.6,90.7,0.321,0.198,0.526,0.474,13.1,29.2,0.251,0.476,14.1,72.3,0.222,Bankers Life Fieldhouse,467561.0,14169.0
121,IND,2013,202.35333333333335,NBA,Indiana Pacers,True,25.7,49.0,32.0,52.0,29.0,4.02,-0.69,3.34,104.3,99.8,4.5,90.2,0.293,0.245,0.521,0.479,14.3,30.3,0.219,0.453,12.9,74.6,0.197,Bankers Life Fieldhouse,626069.0,15270.0
122,IND,2014,202.52266666666668,NBA,Indiana Pacers,True,27.2,56.0,26.0,54.0,28.0,4.4,-0.77,3.63,104.1,99.3,4.8,92.5,0.29,0.235,0.535,0.49,14.3,24.9,0.226,0.46,12.9,76.8,0.197,Bankers Life Fieldhouse,717542.0,17501.0
123,IND,2015,200.15200000000002,NBA,Indiana Pacers,False,28.3,38.0,44.0,42.0,40.0,0.28,-0.51,-0.23,103.5,103.2,0.3,93.2,0.266,0.255,0.523,0.484,13.1,24.0,0.201,0.478,12.0,77.9,0.217,Bankers Life Fieldhouse,691434.0,16864.0
124,IND,2016,199.23125,NBA,Indiana Pacers,True,26.9,45.0,37.0,46.0,36.0,1.71,-0.09,1.62,104.6,102.9,1.7,96.6,0.268,0.27,0.536,0.497,13.5,23.4,0.205,0.489,14.3,76.0,0.205,Bankers Life Fieldhouse,690733.0,16847.0
125,IND,2017,200.52631578947367,NBA,Indiana Pacers,True,27.0,42.0,40.0,40.0,42.0,-0.22,-0.42,-0.64,108.6,108.8,-0.2,95.9,0.261,0.272,0.558,0.516,12.8,21.2,0.212,0.512,13.6,75.5,0.225,Bankers Life Fieldhouse,684578.0,16697.0
126,IND,2018,200.06235294117647,NBA,Indiana Pacers,True,26.2,48.0,34.0,45.0,37.0,1.38,-0.2,1.18,109.5,108.1,1.4,96.0,0.222,0.284,0.557,0.525,12.3,22.7,0.173,0.527,14.2,76.2,0.174,Bankers Life Fieldhouse,658119.0,16052.0
127,IND,2019,198.71764705882353,NBA,Indiana Pacers,True,27.0,48.0,34.0,50.0,32.0,3.33,-0.57,2.76,109.9,106.5,3.4,98.1,0.242,0.292,0.561,0.53,12.4,21.9,0.182,0.516,14.1,76.2,0.184,Bankers Life Fieldhouse,689310.0,16812.0
128,IND,2020,198.78842105263158,NBA,Indiana Pacers,True,25.6,45.0,28.0,41.0,32.0,1.96,-0.33,1.63,110.0,108.0,2.0,98.9,0.216,0.317,0.565,0.534,12.0,20.0,0.17,0.511,13.0,76.7,0.192,Bankers Life Fieldhouse,529002.0,16531.0
129,IND,2021,196.08800000000002,NBA,Indiana Pacers,False,26.5,34.0,38.0,36.0,36.0,-0.04,-0.08,-0.13,112.4,112.4,0.0,101.6,0.227,0.372,0.575,0.542,11.9,20.2,0.18,0.531,12.7,74.9,0.201,Bankers Life Fieldhouse,,
130,IND,2022,198.12,NBA,Indiana Pacers,False,26.0,25.0,57.0,32.0,50.0,-3.48,0.22,-3.26,112.6,116.1,-3.5,98.0,0.239,0.395,0.564,0.531,12.7,25.5,0.184,0.552,11.9,76.2,0.204,Gainbridge Fieldhouse,588743.0,14360.0
131,LAC,2012,199.136,NBA,Los Angeles Clippers,True,27.3,40.0,26.0,39.0,27.0,2.56,0.26,2.82,108.5,105.7,2.8,89.2,0.287,0.269,0.533,0.502,12.7,29.5,0.195,0.492,14.2,73.2,0.245,STAPLES Center,634237.0,19219.0
132,LAC,2013,199.67222222222222,NBA,Los Angeles Clippers,True,28.8,56.0,26.0,59.0,23.0,6.45,-0.02,6.43,110.6,103.6,7.0,91.1,0.286,0.265,0.557,0.526,13.9,28.8,0.203,0.492,15.4,73.5,0.229,STAPLES Center,788293.0,19227.0
133,LAC,2014,199.39,NBA,Los Angeles Clippers,True,28.1,57.0,25.0,59.0,23.0,6.98,0.3,7.27,112.1,104.8,7.3,95.9,0.353,0.291,0.567,0.526,12.7,25.0,0.258,0.484,13.8,72.5,0.222,STAPLES Center,787692.0,19212.0
134,LAC,2015,199.54875,NBA,Los Angeles Clippers,True,28.8,56.0,26.0,58.0,24.0,6.59,0.22,6.8,112.4,105.5,6.9,94.7,0.303,0.322,0.565,0.533,11.6,22.8,0.215,0.493,13.2,75.7,0.231,STAPLES Center,785892.0,19168.0
135,LAC,2016,200.152,NBA,Los Angeles Clippers,True,29.7,53.0,29.0,53.0,29.0,4.28,-0.15,4.13,108.3,103.8,4.5,95.8,0.318,0.324,0.556,0.524,12.1,20.1,0.22,0.48,13.8,73.8,0.222,STAPLES Center,786910.0,19193.0
136,LAC,2017,199.59052631578948,NBA,Los Angeles Clippers,True,30.0,51.0,31.0,52.0,30.0,4.29,0.13,4.42,112.7,108.2,4.5,96.1,0.312,0.329,0.574,0.537,12.0,21.5,0.233,0.506,12.1,76.9,0.211,STAPLES Center,782609.0,19088.0
137,LAC,2018,200.39263157894737,NBA,Los Angeles Clippers,False,27.0,42.0,40.0,41.0,41.0,0.04,0.11,0.15,110.3,110.2,0.1,98.7,0.299,0.314,0.564,0.527,13.2,23.5,0.222,0.52,12.6,76.1,0.203,STAPLES Center,697812.0,17020.0
138,LAC,2019,199.46470588235294,NBA,Los Angeles Clippers,True,27.2,48.0,34.0,43.0,39.0,0.85,0.23,1.09,112.4,111.5,0.9,101.7,0.326,0.295,0.575,0.529,12.7,22.0,0.258,0.514,11.4,76.0,0.224,STAPLES Center,710327.0,17325.0
139,LAC,2020,198.82555555555555,NBA,Los Angeles Clippers,True,27.4,49.0,23.0,50.0,22.0,6.44,0.21,6.66,113.9,107.6,6.3,101.5,0.295,0.375,0.577,0.535,12.6,23.5,0.233,0.506,12.2,77.6,0.206,STAPLES Center,610176.0,19068.0
140,LAC,2021,199.39000000000001,NBA,Los Angeles Clippers,True,28.8,47.0,25.0,49.0,23.0,6.18,-0.16,6.02,117.6,111.2,6.4,96.9,0.222,0.4,0.599,0.564,12.2,22.7,0.186,0.531,11.9,79.1,0.186,STAPLES Center,13901.0,386.0
141,LAC,2022,198.12,NBA,Los Angeles Clippers,False,27.5,42.0,40.0,41.0,41.0,0.02,0.06,0.09,110.1,110.1,0.0,98.0,0.224,0.391,0.564,0.531,12.5,20.6,0.178,0.514,12.0,74.4,0.167,Crypto.com Arena,694005.0,16927.0
142,LAL,2012,199.7075,NBA,Los Angeles Lakers,True,29.7,41.0,25.0,36.0,30.0,1.42,0.54,1.96,106.0,104.4,1.6,90.5,0.299,0.209,0.534,0.491,14.2,29.1,0.226,0.476,10.7,74.8,0.158,STAPLES Center,626901.0,18997.0
143,LAL,2013,200.94222222222223,NBA,Los Angeles Lakers,True,30.7,45.0,37.0,44.0,38.0,1.16,0.32,1.48,107.8,106.6,1.2,94.4,0.345,0.303,0.548,0.512,13.9,27.0,0.239,0.496,11.9,74.3,0.163,STAPLES Center,778877.0,18997.0
144,LAL,2014,200.3777777777778,NBA,Los Angeles Lakers,False,26.8,27.0,55.0,25.0,57.0,-6.29,0.96,-5.33,104.2,110.6,-6.4,98.7,0.263,0.291,0.542,0.505,13.7,20.2,0.199,0.513,12.4,71.0,0.192,STAPLES Center,771974.0,18829.0
145,LAL,2015,202.01466666666667,NBA,Los Angeles Lakers,False,27.0,21.0,61.0,23.0,59.0,-6.84,0.67,-6.17,103.4,110.6,-7.2,94.0,0.276,0.22,0.513,0.473,12.1,25.4,0.204,0.518,12.1,76.3,0.231,STAPLES Center,768244.0,18738.0
146,LAL,2016,202.565,NBA,Los Angeles Lakers,False,26.5,17.0,65.0,17.0,65.0,-9.56,0.64,-8.92,101.6,111.6,-10.0,95.6,0.292,0.29,0.509,0.46,12.5,23.1,0.228,0.523,11.6,74.7,0.202,STAPLES Center,778877.0,18997.0
147,LAL,2017,201.168,NBA,Los Angeles Lakers,False,25.1,26.0,56.0,24.0,58.0,-6.88,0.58,-6.29,106.0,113.0,-7.0,98.5,0.259,0.295,0.537,0.501,13.5,25.0,0.195,0.542,13.0,75.8,0.213,STAPLES Center,776917.0,18949.0
148,LAL,2018,201.041,NBA,Los Angeles Lakers,False,23.7,35.0,47.0,37.0,45.0,-1.55,0.11,-1.44,106.5,108.0,-1.5,100.3,0.264,0.329,0.548,0.517,13.8,23.6,0.188,0.514,12.5,77.7,0.19,STAPLES Center,776327.0,18935.0
149,LAL,2019,199.10777777777778,NBA,Los Angeles Lakers,False,26.2,37.0,45.0,37.0,45.0,-1.72,0.39,-1.33,107.8,109.5,-1.7,103.2,0.257,0.342,0.554,0.527,13.4,22.2,0.18,0.516,12.2,76.4,0.192,STAPLES Center,778877.0,18997.0
150,LAL,2020,200.66,NBA,Los Angeles Lakers,True,29.5,52.0,19.0,48.0,23.0,5.79,0.49,6.28,112.0,106.3,5.7,100.9,0.276,0.358,0.573,0.542,13.3,24.5,0.201,0.515,14.1,78.8,0.205,STAPLES Center,588907.0,18997.0
151,LAL,2021,197.03142857142856,NBA,Los Angeles Lakers,True,28.2,42.0,30.0,42.0,30.0,2.79,-0.03,2.77,109.9,107.1,2.8,98.7,0.271,0.363,0.569,0.536,13.6,22.5,0.2,0.526,13.7,79.7,0.184,STAPLES Center,23313.0,648.0
152,LAL,2022,198.4022222222222,NBA,Los Angeles Lakers,False,30.2,33.0,49.0,33.0,49.0,-3.05,-0.03,-3.08,110.3,113.3,-3.0,100.1,0.259,0.388,0.567,0.537,12.8,21.1,0.19,0.54,12.2,75.8,0.192,Crypto.com Arena,764631.0,18650.0
153,MEM,2012,200.81875,NBA,Memphis Grizzlies,True,25.6,41.0,25.0,38.0,28.0,2.02,0.42,2.43,104.0,101.8,2.2,90.8,0.277,0.157,0.515,0.473,13.6,29.8,0.211,0.485,16.3,72.7,0.227,FedEx Forum,518446.0,15710.0
154,MEM,2013,200.9775,NBA,Memphis Grizzlies,True,27.0,56.0,26.0,54.0,28.0,4.15,0.18,4.32,104.9,100.3,4.6,88.4,0.261,0.166,0.514,0.472,13.3,31.0,0.202,0.475,15.2,74.3,0.209,FedEx Forum,681613.0,16625.0
155,MEM,2014,199.27222222222224,NBA,Memphis Grizzlies,True,28.5,50.0,32.0,46.0,36.0,1.57,0.61,2.18,106.3,104.6,1.7,89.9,0.248,0.171,0.529,0.494,13.1,28.3,0.184,0.497,13.8,75.7,0.199,FedEx Forum,685458.0,16718.0
156,MEM,2015,199.20857142857145,NBA,Memphis Grizzlies,True,29.6,55.0,27.0,50.0,32.0,3.24,0.38,3.62,105.7,102.2,3.5,92.0,0.276,0.184,0.531,0.489,12.6,24.7,0.214,0.492,14.5,75.3,0.183,FedEx Forum,710502.0,17329.0
157,MEM,2016,200.3425,NBA,Memphis Grizzlies,True,30.5,42.0,40.0,35.0,47.0,-2.24,0.11,-2.14,105.4,107.8,-2.4,93.3,0.295,0.222,0.524,0.477,12.3,25.3,0.231,0.518,15.2,75.1,0.251,FedEx Forum,701894.0,17119.0
158,MEM,2017,199.81333333333333,NBA,Memphis Grizzlies,True,29.5,43.0,39.0,42.0,40.0,0.49,0.47,0.96,107.7,107.1,0.6,92.3,0.28,0.316,0.535,0.491,12.1,24.8,0.219,0.506,13.6,77.5,0.256,FedEx Forum,677314.0,16520.0
159,MEM,2018,201.00636363636366,NBA,Memphis Grizzlies,False,26.0,22.0,60.0,25.0,57.0,-6.21,0.39,-5.81,104.5,111.0,-6.5,94.9,0.255,0.317,0.539,0.5,14.0,22.4,0.201,0.529,13.8,76.5,0.256,FedEx Forum,653863.0,15948.0
160,MEM,2019,199.1658823529412,NBA,Memphis Grizzlies,False,27.7,33.0,49.0,34.0,48.0,-2.6,0.51,-2.08,106.1,108.8,-2.7,96.6,0.272,0.342,0.548,0.508,12.9,20.0,0.21,0.521,13.9,77.6,0.232,FedEx Forum,638332.0,15569.0
161,MEM,2020,198.56823529411764,NBA,Memphis Grizzlies,False,24.1,34.0,39.0,34.0,39.0,-1.07,0.16,-0.91,109.2,110.3,-1.1,102.8,0.24,0.346,0.561,0.528,13.2,23.0,0.183,0.521,12.7,77.8,0.217,FedEx Forum,523297.0,15857.0
162,MEM,2021,199.04363636363635,NBA,Memphis Grizzlies,True,24.2,38.0,34.0,38.0,34.0,1.03,0.04,1.07,112.0,111.0,1.0,100.4,0.232,0.342,0.56,0.528,11.6,24.2,0.179,0.535,13.1,78.3,0.196,FedEx Forum,61449.0,1707.0
163,MEM,2022,196.85000000000002,NBA,Memphis Grizzlies,True,24.0,56.0,26.0,55.0,27.0,5.68,-0.32,5.37,114.6,109.0,5.6,100.3,0.245,0.346,0.553,0.522,11.2,30.0,0.18,0.523,13.3,77.8,0.195,FedEx Forum,646785.0,15775.0
164,MIA,2012,202.08875,NBA,Miami Heat,True,28.3,46.0,20.0,47.0,19.0,5.98,-0.27,5.72,106.6,100.2,6.4,91.2,0.307,0.198,0.549,0.505,14.5,26.6,0.238,0.479,15.8,73.9,0.2,AmericanAirlines Arena,657855.0,19935.0
165,MIA,2013,201.25764705882352,NBA,Miami Heat,True,30.3,66.0,16.0,62.0,20.0,7.87,-0.84,7.03,112.3,103.7,8.6,90.7,0.297,0.285,0.588,0.552,13.7,22.2,0.224,0.487,14.8,73.0,0.2,AmericanAirlines Arena,819290.0,19983.0
166,MIA,2014,199.1658823529412,NBA,Miami Heat,True,30.6,54.0,28.0,54.0,28.0,4.76,-0.61,4.15,110.9,105.8,5.1,91.2,0.3,0.292,0.59,0.554,14.6,20.6,0.228,0.511,15.8,73.0,0.212,AmericanAirlines Arena,811036.0,19781.0
167,MIA,2015,200.15200000000002,NBA,Miami Heat,False,28.5,37.0,45.0,33.0,49.0,-2.6,-0.32,-2.92,103.9,106.7,-2.8,90.9,0.306,0.262,0.54,0.5,14.5,23.2,0.227,0.505,14.2,73.4,0.213,AmericanAirlines Arena,808223.0,19713.0
168,MIA,2016,200.84142857142857,NBA,Miami Heat,True,28.4,48.0,34.0,46.0,36.0,1.65,-0.14,1.5,106.1,104.4,1.7,93.6,0.282,0.221,0.545,0.508,13.3,23.8,0.21,0.485,12.1,77.8,0.196,AmericanAirlines Arena,809350.0,19740.0
169,MIA,2017,199.39,NBA,Miami Heat,False,26.5,41.0,41.0,44.0,38.0,1.06,-0.29,0.77,107.8,106.7,1.1,95.2,0.251,0.314,0.541,0.512,12.4,24.2,0.177,0.496,12.6,76.4,0.22,AmericanAirlines Arena,805400.0,19644.0
170,MIA,2018,202.52266666666668,NBA,Miami Heat,True,26.5,44.0,38.0,42.0,40.0,0.48,-0.33,0.15,106.8,106.3,0.5,95.6,0.229,0.358,0.551,0.52,13.3,21.5,0.173,0.507,13.1,79.0,0.215,AmericanAirlines Arena,804850.0,19630.0
171,MIA,2019,199.67222222222222,NBA,Miami Heat,False,27.0,39.0,43.0,40.0,42.0,-0.23,-0.22,-0.45,107.3,107.6,-0.3,98.2,0.247,0.368,0.542,0.515,13.1,24.8,0.172,0.51,12.7,77.6,0.201,AmericanAirlines Arena,805264.0,19641.0
172,MIA,2020,200.36117647058822,NBA,Miami Heat,True,25.9,44.0,29.0,43.0,30.0,2.95,-0.35,2.59,112.5,109.5,3.0,98.3,0.299,0.419,0.587,0.547,13.5,20.3,0.234,0.523,12.6,79.5,0.213,AmericanAirlines Arena,629771.0,19680.0
173,MIA,2021,197.75714285714284,NBA,Miami Heat,True,27.4,40.0,32.0,36.0,36.0,0.03,-0.09,-0.06,111.2,111.2,0.0,96.6,0.252,0.432,0.581,0.546,13.1,19.4,0.199,0.542,13.8,77.9,0.183,AmericanAirlines Arena,,
174,MIA,2022,199.46470588235294,NBA,Miami Heat,True,28.2,53.0,29.0,53.0,29.0,4.45,-0.22,4.23,113.7,109.1,4.6,95.9,0.252,0.422,0.584,0.547,13.4,23.5,0.204,0.524,13.8,78.0,0.209,FTX Arena,804761.0,19628.0
175,MIL,2012,202.692,NBA,Milwaukee Bucks,False,26.2,31.0,35.0,34.0,32.0,0.27,-0.5,-0.23,105.5,105.2,0.3,93.7,0.25,0.224,0.521,0.481,12.9,27.7,0.194,0.489,14.6,70.9,0.217,Bradley Center,485717.0,14719.0
176,MIL,2013,202.4275,NBA,Milwaukee Bucks,True,26.4,38.0,44.0,37.0,45.0,-1.5,-0.33,-1.83,103.6,105.2,-1.6,94.7,0.236,0.232,0.51,0.476,12.7,27.9,0.174,0.492,14.4,71.3,0.201,BMO Harris Bradley Center,616469.0,15036.0
177,MIL,2014,201.64777777777778,NBA,Milwaukee Bucks,False,24.7,15.0,67.0,20.0,62.0,-8.18,-0.23,-8.41,103.0,111.8,-8.8,91.8,0.274,0.231,0.519,0.479,14.1,27.1,0.204,0.52,13.2,71.4,0.225,BMO Harris Bradley Center,552067.0,13465.0
178,MIL,2015,202.72375,NBA,Milwaukee Bucks,True,24.6,41.0,41.0,42.0,40.0,0.43,-0.52,-0.09,102.7,102.2,0.5,94.1,0.258,0.223,0.536,0.499,15.5,25.4,0.195,0.487,15.9,73.3,0.221,BMO Harris Bradley Center,593910.0,14813.0
179,MIL,2016,203.79764705882351,NBA,Milwaukee Bucks,False,23.5,33.0,49.0,29.0,53.0,-4.18,0.2,-3.98,104.3,108.7,-4.4,94.2,0.276,0.189,0.537,0.499,14.2,24.9,0.207,0.51,14.2,73.1,0.221,BMO Harris Bradley Center,621808.0,15166.0
180,MIL,2017,201.06105263157895,NBA,Milwaukee Bucks,True,25.6,42.0,40.0,40.0,42.0,-0.18,-0.26,-0.45,109.1,109.3,-0.2,94.5,0.274,0.29,0.565,0.527,13.2,21.5,0.21,0.518,13.6,75.4,0.215,BMO Harris Bradley Center,648952.0,15828.0
181,MIL,2018,199.10777777777778,NBA,Milwaukee Bucks,True,25.9,44.0,38.0,40.0,42.0,-0.3,-0.15,-0.45,109.8,110.1,-0.3,96.2,0.281,0.297,0.571,0.531,12.9,20.4,0.22,0.528,14.2,75.9,0.22,BMO Harris Bradley Center,685303.0,16856.0
